ensgene
ENSG00000182888
ENSG00000273773
ENSG00000213338
ENSG00000228328
ENSG00000272681
ENSG00000272681
ENSG00000236243
ENSG00000275882
ENSG00000158301
ENSG00000158301
ENSG00000274430
ENSG00000126890
ENSG00000278039
ENSG00000201592
ENSG00000147168
ENSG00000252016
ENSG00000276784
ENSG00000207633
ENSG00000199601
ENSG00000252170
ENSG00000207146
ENSG00000212546
ENSG00000252583
ENSG00000221081
ENSG00000276823
ENSG00000201912
ENSG00000263351
ENSG00000239008
ENSG00000102243
ENSG00000252219
ENSG00000212214
ENSG00000200620
ENSG00000280456
ENSG00000277832
ENSG00000201377
ENSG00000275254
ENSG00000226141
ENSG00000206792
ENSG00000211991
ENSG00000206826
ENSG00000265260
ENSG00000275335
ENSG00000212075
ENSG00000278536
ENSG00000263509
ENSG00000221317
ENSG00000201420
ENSG00000216047
ENSG00000264268
ENSG00000277577
ENSG00000263425
ENSG00000228965
ENSG00000212560
ENSG00000280934
ENSG00000216064
ENSG00000201618
ENSG00000212495
ENSG00000252810
ENSG00000238730
ENSG00000207785
ENSG00000281135
ENSG00000252627
ENSG00000207846
ENSG00000222114
ENSG00000206752
ENSG00000207104
ENSG00000266257
ENSG00000275070
ENSG00000265176
ENSG00000265176
ENSG00000278560
ENSG00000252441
ENSG00000280699
ENSG00000242559
ENSG00000277717
ENSG00000239080
ENSG00000252163
ENSG00000212347
ENSG00000252856
ENSG00000207426
ENSG00000202231
ENSG00000275790
ENSG00000225833
ENSG00000207367
ENSG00000202272
ENSG00000207033
ENSG00000264484
ENSG00000236880
ENSG00000201285
ENSG00000226532
ENSG00000211578
ENSG00000207165
ENSG00000242998
ENSG00000266526
ENSG00000201407
ENSG00000241248
ENSG00000187516
ENSG00000211495
ENSG00000273811
ENSG00000207291
ENSG00000202304
ENSG00000275975
ENSG00000216060
ENSG00000207515
ENSG00000207820
ENSG00000199878
ENSG00000243011
ENSG00000200635
ENSG00000207957
ENSG00000207970
ENSG00000272351
ENSG00000264746
ENSG00000200702
ENSG00000207867
ENSG00000281119
ENSG00000206864
ENSG00000201447
ENSG00000206979
ENSG00000199832
ENSG00000281786
ENSG00000272080
ENSG00000237619
ENSG00000263858
ENSG00000252205
ENSG00000208005
ENSG00000212100
ENSG00000207710
ENSG00000212013
ENSG00000221729
ENSG00000280897
ENSG00000201518
ENSG00000182378
ENSG00000252050
ENSG00000239579
ENSG00000201882
ENSG00000264604
ENSG00000222864
ENSG00000276575
ENSG00000265170
ENSG00000240439
ENSG00000277569
ENSG00000201392
ENSG00000274871
ENSG00000233093
ENSG00000277353
ENSG00000202279
ENSG00000200587
ENSG00000265584
ENSG00000207812
ENSG00000216005
ENSG00000263652
ENSG00000252491
ENSG00000201443
ENSG00000278421
ENSG00000215943
ENSG00000277433
ENSG00000207202
ENSG00000207151
ENSG00000252145
ENSG00000239228
ENSG00000221494
ENSG00000277896
ENSG00000207100
ENSG00000280539
ENSG00000221716
ENSG00000212321
ENSG00000237539
ENSG00000226339
ENSG00000221392
ENSG00000239594
ENSG00000009694
ENSG00000223274
ENSG00000263886
ENSG00000277721
ENSG00000147003
ENSG00000264759
ENSG00000252120
ENSG00000199567
ENSG00000276158
ENSG00000212605
ENSG00000206862
ENSG00000263686
ENSG00000216075
ENSG00000241198
ENSG00000252978
ENSG00000212584
ENSG00000263377
ENSG00000207939
ENSG00000265211
ENSG00000281047
ENSG00000207041
ENSG00000277605
ENSG00000281066
ENSG00000252178
ENSG00000212434
ENSG00000222161
ENSG00000252069
ENSG00000242065
ENSG00000165168
ENSG00000277900
ENSG00000264952
ENSG00000239057
ENSG00000207969
ENSG00000252430
ENSG00000244006
ENSG00000275864
ENSG00000222810
ENSG00000279988
ENSG00000200852
ENSG00000263515
ENSG00000207435
ENSG00000264894
ENSG00000207628
ENSG00000212241
ENSG00000222532
ENSG00000274655
ENSG00000207800
ENSG00000219930
ENSG00000206622
ENSG00000222667
ENSG00000207873
ENSG00000264338
ENSG00000237793
ENSG00000276515
ENSG00000275110
ENSG00000207363
ENSG00000278724
ENSG00000252486
ENSG00000212014
ENSG00000199564
ENSG00000238764
ENSG00000221710
ENSG00000221705
ENSG00000199168
ENSG00000201659
ENSG00000201666
ENSG00000202024
ENSG00000265658
ENSG00000206896
ENSG00000251954
ENSG00000207758
ENSG00000199751
ENSG00000202495
ENSG00000264184
ENSG00000199132
ENSG00000264284
ENSG00000275287
